^Annotation
!Annotation_date = 05/20/2005 09:49:12
!Annotation_platform = GPL271
!Annotation_platform_title =LC-17
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
39		Hs.12451	Echinoderm microtubule associated protein like 1			2159861	AA447196	EML1	IMAGE:784360				
40				ab20b06.s1 Stratagene lung (#937210) Homo sapiens cDNA clone IMAGE:841331 3', mRNA sequence		2217598	AA487434		IMAGE:841331				
41		Hs.460179	PI-3-kinase-related kinase SMG-1			2818900	AA767885	SMG1	IMAGE:1306531				
42		Hs.471818	Membrane component, chromosome 11, surface marker 1			2817575	AA766337	M11S1	IMAGE:1306566				
43		Hs.531168	Hypothetical protein MGC26690			2817670	AA766432	MGC26690	IMAGE:1306670				
44				oa32g04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1306710 3' similar to gb:M19503 LINE-1 REVERSE TRANSCRIPTASE HOMOLOG (HUMAN);, mRNA sequence		2817819	AA766581		IMAGE:1306710				
45				oa34c12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1306870 3', mRNA sequence		2817922	AA766684		IMAGE:1306870				
46				oa34h09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1306913 3' similar to SW:LIN1_HUMAN P08547 LINE-1 REVERSE TRANSCRIPTASE HOMOLOG. ;, mRNA sequence		2817706	AA766468		IMAGE:1306913				
47				oa36c02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1307042 3', mRNA sequence		2817619	AA766381		IMAGE:1307042				
48		Hs.256639	Peptidyl prolyl isomerase H (cyclophilin H)			2817626	AA766388	PPIH	IMAGE:1307062				
49		Hs.470608	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12			5933956	AW058317	SLC25A12	IMAGE:2544053				
50		Hs.282938	Collagen, type IV, alpha 4			5934140	AW058501	COL4A4	IMAGE:2544342				
51		Hs.527624	Phosphatidylinositol 4-kinase, catalytic, beta polypeptide			5744185	AI951875	PIK4CB	IMAGE:2545984				
52		Hs.211079	Zinc finger, HIT domain containing 1			5742961	AI950651	ZNHIT1	IMAGE:2547236				
53		Hs.517666	Diaphorase (NADH) (cytochrome b-5 reductase)			5744844	AI952534	DIA1	IMAGE:2549468				
54		Hs.463456	Non-metastatic cells 2, protein (NM23B) expressed in			5746484	AI954174	NME2	IMAGE:2549991				
55		Hs.126057	Frequently rearranged in advanced T-cell lymphomas			5905183	AW044654	FRAT1	IMAGE:2554697				
56		Hs.198308	Tryptophan rich basic protein			5913765	AW051495	WRB	IMAGE:2556377				
57		Hs.387381	Myeloid/lymphoid or mixed-lineage leukemia 2			4986619	AI698719	MLL2	IMAGE:2302544				
58		Hs.549079	FK506 binding protein 6, 36kDa			4736186	AI652207	FKBP6	IMAGE:2306210				
59				wc41e03.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:2321212 3' similar to gb:M20643 MYOSIN LIGHT CHAIN 3, SKELETAL MUSCLE ISOFORM (HUMAN);, mRNA sequence		5365481	AI800009		IMAGE:2321212				
60		Hs.25040	Zinc finger protein 239			4876409	AI675929	ZNF239	IMAGE:2324268				
61		Hs.82906	Myeloproliferative leukemia virus oncogene			4990713	AI702813	MPL	IMAGE:2340423				
62		Hs.153768	RNA, U3 small nucleolar interacting protein 2			4983504	AI695604	RNU3IP2	IMAGE:2344471				
63		Hs.113684	Heat shock 60kDa protein 1 (chaperonin)			5109115	AI740827	HSPD1	IMAGE:2366057				
64		Hs.89394	POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1)			5111391	AI743103	POU1F1	IMAGE:2372072				
65		Hs.113823	ClpX caseinolytic protease X homolog (E. coli)			1940051	AA292065	CLPX	IMAGE:725394				
66		Hs.7736	Mitochondrial ribosomal protein L27			1404234	W88752	MRPL27	IMAGE:417801				
67		Hs.6088	A disintegrin and metalloproteinase domain 11			946512	R87699	ADAM11	IMAGE:180787				
68		Hs.539840	Transcribed locus			3307198	AI051664		IMAGE:1671875				
69											EMPTY		
70											EMPTY		
71											EMPTY		
72											EMPTY		
73		Hs.104123	Phosphoribosyl pyrophosphate synthetase 2			2575454	AA649025	PRPS2	IMAGE:1185890				
74				ns39d11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1186005 3' similar to contains Alu repetitive element;contains MER14.b3 MER14 repetitive element ;, mRNA sequence		2583571	AA651919		IMAGE:1186005				
75		Hs.434498	Hypothetical gene supported by BC007071			2675412	AA687221	dJ383J4.3	IMAGE:1234183				
76		Hs.356285	High-mobility group nucleosome binding domain 1			2675370	AA687143	HMGN1	IMAGE:1234506				
77		Hs.120277	Leucine rich repeat containing 34			2753887	AA731866	MGC27085	IMAGE:1251395				
78		Hs.48823	Heparan sulfate 2-O-sulfotransferase 1			2752504	AA731300	HS2ST1	IMAGE:1251802				
79				nx88f09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1269353 3' similar to contains L1.t1 L1 repetitive element ;, mRNA sequence		2787393	AA747435		IMAGE:1269353				
80		Hs.520133	Similar to RIKEN cDNA 2310039H08			2767689	AA737414	LOC441150	IMAGE:1270051				
81		Hs.533831	Chromosome 13 open reading frame 22			1108783	H95641	C13orf22	IMAGE:242955				
82		Hs.134974	Growth associated protein 43			868997	H05445	GAP43	IMAGE:44563				
83		Hs.484741	Guanosine monophosphate reductase			2064223	AA406242	GMPR	IMAGE:753775				
84		Hs.481852	General transcription factor IIB			891393	H22698	GTF2B	IMAGE:51362				
85				BX090462 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGp998G09127 ; IMAGE:126368, mRNA sequence		757066	R06446		IMAGE:126368				
86				zb65b07.r1 Soares_fetal_lung_NbHL19W Homo sapiens cDNA clone IMAGE:308437 5' similar to gb:M29877 TISSUE ALPHA-L-FUCOSIDASE PRECURSOR (HUMAN);, mRNA sequence		1268046	N95761		IMAGE:308437				
87		Hs.227729	FK506 binding protein 2, 13kDa			850501	R75819	FKBP2	IMAGE:143519				
88		Hs.515070	Eukaryotic translation elongation factor 2			775013	R20379	EEF2	IMAGE:34849				
89		Hs.285401	Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)			838963	R66325	CSF2RB	IMAGE:141115				
90				CR744807 Soares_fetal_lung_NbHL19W Homo sapiens cDNA clone IMAGp998L14691 ; IMAGE:307741 5', mRNA sequence		1265264	N92955		IMAGE:307741				
91		Hs.493096	Pre-B-cell leukemia transcription factor 1			2053547	AA401304	PBX1	IMAGE:741880				
92		Hs.414332	2'-5'-oligoadenylate synthetase 2, 69/71kDa			846275	R72243	OAS2	IMAGE:155806				
93		Hs.442658	Aurora kinase B			1059112	H81023	AURKB	IMAGE:241029				
94		Hs.500067	Protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)			1476804	AA015621	PPP3CB	IMAGE:360539				
95				aa57g11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825092 3' similar to contains Alu repetitive element;contains element THR repetitive element ;, mRNA sequence		2218842	AA489240		IMAGE:825092				
96		Hs.211600	Tumor necrosis factor, alpha-induced protein 3			843996	R70479	TNFAIP3	IMAGE:141806				
97		Hs.180566	Mucosa associated lymphoid tissue lymphoma translocation gene 1			1874231	AA243420	MALT1	IMAGE:685240				
98				zs16f07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:685381 3' similar to contains Alu repetitive element;, mRNA sequence		1874439	AA243581		IMAGE:685381				
99		Hs.521289	Replication initiator 1			1892644	AA255706	REPIN1	IMAGE:685848				
100		Hs.506997	CDNA FLJ32200 fis, clone PLACE6002871			1892627	AA256729		IMAGE:685979				
101		Hs.87205	Lymphocyte antigen 64 homolog, radioprotective 105kDa (mouse)			1887815	AA252816	LY64	IMAGE:686429				
102		Hs.498455	KIAA0217			1891515	AA255948	KIAA0217	IMAGE:686467				
103		Hs.432562	Intersectin 2			1893950	AA258825	ITSN2	IMAGE:686927				
104		Hs.444600	LAT1-3TM protein			1894414	AA257982	LAT1-3TM	IMAGE:687221				
105				tg97h11.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:2116773 3' similar to TR:O15406 O15406 CAGH16. ;, mRNA sequence		4438044	AI523909		IMAGE:2116773				
106		Hs.476319	Enoyl Coenzyme A hydratase domain containing 2			4438107	AI523972	ECHDC2	IMAGE:2116851				
107		Hs.432760	Capping protein (actin filament) muscle Z-line, beta			4438203	AI524068	CAPZB	IMAGE:2116995				
108				th02a05.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:2117072 3' similar to contains Alu repetitive element;contains element MIR repetitive element ;, mRNA sequence		4260460	AI416956		IMAGE:2117072				
109		Hs.158920	LOC440852			4438226	AI524091		IMAGE:2117736				
110		Hs.480597	Ubiquitin specific protease 33			4438255	AI524120	USP33	IMAGE:2117771				
111		Hs.233308	Death-associated protein kinase 3			4243902	AI400815	DAPK3	IMAGE:2117903				
112		Hs.534074	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1			4438354	AI524219	NFATC1	IMAGE:2117945				
113		Hs.44439	Suppressor of cytokine signaling 6			1163355	N39810	SOCS6	IMAGE:269271				
114		Hs.8395	Hypothetical protein FLJ10781			1162789	N39582	FLJ10781	IMAGE:277058				
115		Hs.405537	Protein kinase, interferon-inducible double stranded RNA dependent activator			1224800	N68639	PRKRA	IMAGE:294478				
116		Hs.469658	BCL2-like 11 (apoptosis facilitator)			1241485	N78784	BCL2L11	IMAGE:300194				
117		Hs.505806	Pre-B-cell leukemia transcription factor interacting protein 1			1274171	W02172	PBXIP1	IMAGE:327311				
118		Hs.8417	Calcium/calmodulin-dependent protein kinase kinase 1, alpha			1378658	W69176	CAMKK1	IMAGE:343698				
119		Hs.155975	Protein tyrosine phosphatase, receptor type, C-associated protein			1471695	AA010668	PTPRCAP	IMAGE:359474				
120		Hs.4859	Cyclin L1			1477363	AA016305	CCNL1	IMAGE:361274				
121		Hs.436102	Hypothetical protein FLJ12484			2874219	AA805469	FLJ12484	IMAGE:1340620				
122				oc19a08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1341302 3', mRNA sequence		2874363	AA805613		IMAGE:1341302				
123				oc37d09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1351889 3' similar to TR:Q20578 Q20578 F48F7.1 ;, mRNA sequence		2876874	AA807298		IMAGE:1351889				
124		Hs.40758	RAB30, member RAS oncogene family			2903188	AA830089	RAB30	IMAGE:1352564				
125				oc56b02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1353675 3' similar to SW:BFL1_HUMAN Q16548 BCL2-RELATED PROTEIN A1 ;, mRNA sequence		2903881	AA830782		IMAGE:1353675				
126				oc59h07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1354045 3', mRNA sequence		2904311	AA831212		IMAGE:1354045				
127		Hs.83722	Epidermal growth factor receptor pathway substrate 15			2905155	AA832056	EPS15	IMAGE:1357019				
128				oc96f04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1357567 3' similar to contains L1.t2 L1 repetitive element ;, mRNA sequence		2905569	AA832470		IMAGE:1357567				
129		Hs.271955	Tumor necrosis factor, alpha-induced protein 8			2817872	AA766634	TNFAIP8	IMAGE:1307240				
130				oa38h02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1307283 3' similar to contains Alu repetitive element;, mRNA sequence		2818054	AA766816		IMAGE:1307283				
131				oa41c08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1307534 3' similar to SW:CB20_HUMAN P52298 20 KD NUCLEAR CAP BINDING PROTEIN ;, mRNA sequence		2819578	AA766997		IMAGE:1307534				
132		Hs.435052	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1			2819669	AA767088	ATP8A1	IMAGE:1307579				
133				oa44b05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1307793 3', mRNA sequence		2818535	AA767520		IMAGE:1307793				
134				oa44f10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1307851 3' similar to SW:GLSK_RAT P13264 GLUTAMINASE, KIDNEY ISOFORM PRECURSOR ;, mRNA sequence		2818609	AA767594		IMAGE:1307851				
135		Hs.541750	Transcribed locus			2818816	AA767801		IMAGE:1307969				
136		Hs.434948	TGF-betaIIR beta			2818848	AA767833		IMAGE:1308159				
137		Hs.292524	RAS p21 protein activator (GTPase activating protein) 1			2839709	AA780378	RASA1	IMAGE:825968				
138		Hs.24970	RAB39B, member RAS oncogene family			2873656	AA804525	RAB39B	IMAGE:1184915				
139		Hs.150444	Hypothetical protein DKFZp434N2030			2874508	AA805758	Cep290	IMAGE:1186410				
140				nv64c03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1234564 3' similar to gb:J03600 ARACHIDONATE 5-LIPOXYGENASE (HUMAN);, mRNA sequence		2877412	AA808006		IMAGE:1234564				
141		Hs.131715	Chromosome 13 open reading frame 10			2877092	AA807624	C13orf10	IMAGE:1234707				
142				nw66d06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1251563 3', mRNA sequence		2879198	AA809792		IMAGE:1251563				
143	myosin binding protein C, slow type	Hs.506502	Myosin binding protein C, slow type					MYBPC1	IMAGE:1269011				
144		Hs.459583	Transcribed locus, weakly similar to NP_694983.1 DHHC-containing protein 20 [Homo sapiens]			2883449	AA813853		IMAGE:1271748				
145		Hs.283764	F-box protein 24			2881473	AA811862	FBXO24	IMAGE:1333850				
146				ob40h11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1333893 3' similar to SW:CYCH_HUMAN P51946 CYCLIN H ;, mRNA sequence		2881505	AA811894		IMAGE:1333893				
147		Hs.498317	CGI-146 protein			2878842	AA809436	PNAS-4	IMAGE:1334134				
148		Hs.26410	Hypothetical protein FLJ34443			2884567	AA814971	FLJ34443	IMAGE:1334163				
149		Hs.127013	Ca2+-dependent secretion activator			2881150	AA811539	CADPS	IMAGE:1334319				
150				ob46b07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1334389 3' similar to contains L1.t2 L1 repetitive element ;, mRNA sequence		2877742	AA808336		IMAGE:1334389				
151				ob47f06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1334531 3' similar to TR:Q13537 Q13537 MER37 TRANSPOSABLE ELEMENT, COMPLETE CONSENSUS SEQUENCE. ;, mRNA sequence		2818629	AA767614		IMAGE:1334531				
152				ob48a01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1334568 3', mRNA sequence		2881643	AA812032		IMAGE:1334568				
153				ny29f02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1273179 3' similar to gb:X64044 SPLICING FACTOR U2AF 65 KD SUBUNIT (HUMAN);contains element MER22 repetitive element ;, mRNA sequence		2783165	AA743659		IMAGE:1273179				
154		Hs.369438	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)			2783177	AA743826	ETS1	IMAGE:1273207				
155				ny63b11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1282941 3' similar to contains L1.t3 L1 repetitive element ;, mRNA sequence		2785116	AA744366		IMAGE:1282941				
156		Hs.435561	Ataxia telangiectasia mutated (includes complementation groups A, C and D)			2785231	AA745245	ATM	IMAGE:1282977				
157				ny65b04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1283119 3' similar to gb:L23320 ACTIVATOR 1 140 KD SUBUNIT (HUMAN);, mRNA sequence		2783265	AA744501		IMAGE:1283119				
158		Hs.434875	Calcium/calmodulin-dependent protein kinase I			2783380	AA744616	CAMK1	IMAGE:1283173				
159				ny67f12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1283375 3' similar to contains L1.t2 L1 repetitive element ;, mRNA sequence		2783592	AA744828		IMAGE:1283375				
160		Hs.443735	PR/SET domain containing protein 8			2784222	AA742222	SET8	IMAGE:1283425				
161		Hs.180761	Transcribed locus			2789211	AA749253		IMAGE:1270729				
162				ny04c05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1270760 3', mRNA sequence		2789221	AA749263		IMAGE:1270760				
163		Hs.116237	Vav 1 oncogene			2788568	AA748610	VAV1	IMAGE:1270940				
164		Hs.533831	Chromosome 13 open reading frame 22			2788697	AA748739	C13orf22	IMAGE:1270990				
165		Hs.209958	Protein BAP28			2789262	AA749304	FLJ10359	IMAGE:1271147				
166		Hs.529488	Solute carrier family 6 (neurotransmitter transporter, taurine), member 6			2788604	AA748646	SLC6A6	IMAGE:1271317				
167		Hs.113916	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)			2789062	AA749104	BLR1	IMAGE:1271435				
168				ny11h10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1271491 3', mRNA sequence		2789168	AA749210		IMAGE:1271491				
169		Hs.448520	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 2			3241571	AI025958	SLC7A2	IMAGE:1646553				
170		Hs.350927	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6			2229697	AA496376	SLC25A6	IMAGE:755855				
171		Hs.492655	Fc fragment of IgG, low affinity IIb, receptor (CD32)			2184346	AA459439	FCGR2B	IMAGE:814841				
172				zv23f02.r1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:754491 5', mRNA sequence		2069690	AA410584		IMAGE:754491				
173		Hs.511952	Chromobox homolog 6			883574	H17334	CBX6	IMAGE:50763				
174		Hs.279920	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide			2968273	AA872095	YWHAB	IMAGE:1476307				
175		Hs.514846	Protein inhibitor of activated STAT, 2			2668794	AA682903	PIAS2	IMAGE:971273				
176		Hs.479347	Interleukin 12 receptor, beta 2			3154640	AA977194	IL12RB2	IMAGE:1587390				
177				ob85f07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1338181 3' similar to contains Alu repetitive element;contains element TAR1 repetitive element ;, mRNA sequence		2878922	AA809516		IMAGE:1338181				
178		Hs.515664	Abhydrolase domain containing 8			2876135	AA804780	ABHD8	IMAGE:1339447				
179		Hs.381058	KIAA0146 protein			2877621	AA808215	KIAA0146	IMAGE:1352198				
180		Hs.136839	Transcribed locus			2903493	AA830394		IMAGE:1354624				
181				od27c07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1369164 3' similar to contains L1.b3 L1 repetitive element ;, mRNA sequence		2902525	AA829426		IMAGE:1369164				
182		Hs.269577	Protein tyrosine phosphatase, receptor type, A			2910719	AA836400	VPS16	IMAGE:1370129				
183		Hs.516746	YY1 associated protein 1			2898893	AA825581	YAP	IMAGE:1372061				
184		Hs.149957	Ribosomal protein S6 kinase, 90kDa, polypeptide 1			2908569	AA833801	RPS6KA1	IMAGE:1372481				
185		Hs.546385	MyoD family inhibitor domain containing			2903272	AA830173	HIC	IMAGE:1352964				
186		Hs.3530	FUS interacting protein (serine-arginine rich) 1			2903297	AA830198	FUSIP1	IMAGE:1352995				
187		Hs.59332	Sprouty-related, EVH1 domain containing 2			2903721	AA830622	SPRED2	IMAGE:1353176				
188		Hs.474982	Aconitase 2, mitochondrial			2903735	AA830636	ACO2	IMAGE:1353272				
189		Hs.98484	Immunoglobulin-like domain containing receptor 1			2903754	AA830655	ILDR1	IMAGE:1353378				
190		Hs.105102	Transcribed locus			2903841	AA830742		IMAGE:1353411				
191		Hs.500842	Meningioma expressed antigen 5 (hyaluronidase)			2903971	AA830872	MGEA5	IMAGE:1353541				
192		Hs.500066	Transcriptional adaptor 2 (ADA2 homolog, yeast)-like			2903689	AA830590	TADA2L	IMAGE:1353612				
193		Hs.443673	KIAA1002 protein			2218485	AA488883	KIAA1002	IMAGE:824871				
194		Hs.436568	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)			2218623	AA489021	CD74	IMAGE:824907				
195		Hs.519972	Major histocompatibility complex, class I, F			2218770	AA489168	HLA-F	IMAGE:824980				
196		Hs.492925	Hydroxysteroid (17-beta) dehydrogenase 7			2218776	AA489174	HSD17B7	IMAGE:824992				
197				aa58a05.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825104 5', mRNA sequence		2240219	AA505181		IMAGE:825104				
198		Hs.415950	Immunoglobulin superfamily receptor translocation associated 2			2240240	AA504080	IRTA2	IMAGE:825136				
199		Hs.59425	Hypothetical protein FLJ23323			2240272	AA504112	FLJ23323	IMAGE:825212				
200		Hs.137546	Transcribed locus			2240289	AA504129		IMAGE:825226				
201		Hs.517148	TH1-like (Drosophila)			2779844	AA741252	TH1L	IMAGE:1286132				
202		Hs.291363	CHK2 checkpoint homolog (S. pombe)			2779972	AA741380	CHEK2	IMAGE:1286168				
203		Hs.10431	AT rich interactive domain 3B (BRIGHT- like)			2779226	AA740634	ARID3B	IMAGE:1286271				
204				ny98c05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1286312 3', mRNA sequence		2779315	AA740723		IMAGE:1286312				
205		Hs.145010	Chromosome Y open reading frame 15B			2779681	AA741089	CYorf15B	IMAGE:1286447				
206				nz01b04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1286479 3', mRNA sequence		2779862	AA741270		IMAGE:1286479				
