^Annotation
!Annotation_date = 05/18/2005 22:13:42
!Annotation_platform = GPL1223
!Annotation_platform_title =Arcturus 22k human oligonucleotide microarray
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
18200		Hs.374613	Inositol 1,4,5-triphosphate receptor, type 1			5109945	AI741657	ITPR1					
9609	potassium channel, subfamily K, member 13	Hs.510191	Potassium channel, subfamily K, member 13			33877880	BC012779	KCNK13					
1240		Hs.497492	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)			2753712	AA731556	MDM4					
20337		Hs.406904	CDNA FLJ32483 fis, clone SKNMC2001503, weakly similar to P-SELECTIN GLYCOPROTEIN LIGAND 1 PRECURSOR			5865077	AW016320						
5106				Homo sapiens PRO1430 mRNA, complete cds		7959818	AF116660						
20225	zinc finger protein 37 homolog (mouse)	Hs.150406	Zinc finger protein 37 homolog (mouse)			3378093	AF022158	ZFP37					
2453	interleukin 8					219915	D14283	IL8					
22433											agilent control, positive		
9446				xq84a03.x1 NCI_CGAP_Brn53 Homo sapiens cDNA clone IMAGE:2757292 3', mRNA sequence		6640929	AW264113						
9884	dynein 2 light intermediate chain	Hs.371597	Dynein 2 light intermediate chain			4884074	AL050006	D2LIC					
19013	hypothetical protein FLJ32731	Hs.191320	Hypothetical protein FLJ32731			10438549	AK025895	FLJ32731					
7269	chromosome 14 open reading frame 80	Hs.72363	Chromosome 14 open reading frame 80			16359124	BC016028	C14orf80					
19214		Hs.408461	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6			4523287	AI564830	DDX6					
3717		Hs.473611	Chromosome 21 open reading frame 108			4175612	AI375622	C21orf108					
6244	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	Hs.91531	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6			16552634	AK057058	MLLT6					
4186		Hs.513244	F-box and leucine-rich repeat protein 16			6073254	AW102641	FBXL16					
12470											agilent control, positive		
22191	dynactin 4 (p62)	Hs.328865	Dynactin 4 (p62)			7020288	AK000299	DCTN4					
3193		Hs.345588	Hypothetical protein MGC45871			2953176	AA861036	MGC45871					
15708				nv07c11.s1 NCI_CGAP_Pr22 Homo sapiens cDNA clone IMAGE:1219508 3', mRNA sequence		2674506	AA687600						
19826				7p13e02.x1 NCI_CGAP_Br22 Homo sapiens cDNA clone IMAGE:3645771 3', mRNA sequence		11448802	BF436487						
16898	F-box and leucine-rich repeat protein 6	Hs.12271	F-box and leucine-rich repeat protein 6			16306575	NM_012162	FBXL6					
1433	pannexin 1	Hs.503584	Pannexin 1			15193204	AF398509	PANX1					
7611				qa90d09.x1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:1694033 3', mRNA sequence		3649017	AI141560						
2032	bromodomain adjacent to zinc finger domain, 1A	Hs.509140	Bromodomain adjacent to zinc finger domain, 1A			6683493	AB032252	BAZ1A					
8531		Hs.203621	Transcribed locus			5054063	AI732950						
15964	olfactory receptor, family 12, subfamily D, member 3	Hs.272280	Olfactory receptor, family 12, subfamily D, member 3			31377669	NM_030959	OR12D3					
7182		Hs.43047	Homo sapiens, clone IMAGE:4393354, mRNA			10703422	BF003147						
11082	chromosome 9 open reading frame 58	Hs.4944	Chromosome 9 open reading frame 58			13276638	AL136566	C9orf58					
19154	congenital dyserythropoietic anemia, type I	Hs.437819	Congenital dyserythropoietic anemia, type I			33875979	BC001092	CDAN1					
14571	leukotriene B4 receptor	Hs.525256	Leukotriene B4 receptor			2196450	D89079	LTB4R					
8604	sperm autoantigenic protein 17	Hs.286233	Sperm autoantigenic protein 17			13377870	AF334735	SPA17					
13546											agilent control, negative		
5820		Hs.1197	Heat shock 10kDa protein 1 (chaperonin 10)			4332437	AI470347	HSPE1					
3990	SPARC-like 1 (mast9, hevin)	Hs.62886	SPARC-like 1 (mast9, hevin)			809026	X86693	SPARCL1					
17821	protease, serine, 21 (testisin)	Hs.72026	Protease, serine, 21 (testisin)			6714621	AB031331	PRSS21					
10780							BC000519						
18152	tetraspanin 6	Hs.43233	Transmembrane 4 superfamily member 6			2995860	AF053453	TSPAN6					
13072		Hs.143751	Matrix metalloproteinase 11 (stromelysin 3)			4737741	AI653762	MMP11					
2239		Hs.255596	Ubiquitin specific protease 19			6992278	AW451502	USP19					
21042	apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death	Hs.117062	Apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death			13543963	BC006121	AMID					
16863		Hs.194783	Solute carrier family 10 (sodium/bile acid cotransporter family), member 2			6144431	AW139713	SLC10A2					
3190	acyl-Coenzyme A dehydrogenase family, member 8	Hs.14791	Acyl-Coenzyme A dehydrogenase family, member 8			6465954	AF126245	ACAD8					
8035	syntaxin 1A (brain)	Hs.488683	Syntaxin 1A (brain)			577487	L37792	STX1A					
2394	ferritin, light polypeptide	Hs.433670	Ferritin, light polypeptide			16740988	BC016346	FTL					
6442		Hs.514132	Suppressor of cytokine signaling 7			771273	R17663	SOCS7					
15310	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	Hs.271383	Galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)			39645008	BC007825	GALNS					
19811	cadherin 3, type 1, P-cadherin (placental)	Hs.191842	Cadherin 3, type 1, P-cadherin (placental)			45269142	NM_001793	CDH3					
4809	START domain containing 3	Hs.77628	START domain containing 3			14249945	BC008356	STARD3					
4015	hypothetical protein MGC8974	Hs.40094	Hypothetical protein MGC8974			15341847	BC013101	MGC8974					
7597	kinesin-associated protein 3	Hs.433442	Kinesin-associated protein 3			10439342	AK026471	KIFAP3					
11453	cytochrome P450, family 2, subfamily F, polypeptide 1	Hs.363140	Cytochrome P450, family 2, subfamily F, polypeptide 1			19743564	NM_000774	CYP2F1					
2812	PHD finger protein 11	Hs.369039	PHD finger protein 11			33880652	BC017212	PHF11					
18349	glutathione S-transferase M5	Hs.75652	Glutathione S-transferase M5			515631	L02321	GSTM5					
15994	golgi phosphoprotein 2	Hs.494337	Golgi phosphoprotein 2			7271866	AF236056	GOLPH2					
7520		Hs.17267	Chromosome 9 open reading frame 93			2325446	AA554907	C9orf93					
18005	ghrelin precursor	Hs.302131	Ghrelin precursor			6691571	AB029434	GHRL					
2540	peptidylprolyl isomerase (cyclophilin)-like 5	Hs.451090	Peptidylprolyl isomerase (cyclophilin)-like 5			16024937	AY052405	PPIL5					
12864	SMAD, mothers against DPP homolog 3 (Drosophila)	Hs.549051	SMAD, mothers against DPP homolog 3 (Drosophila)			10439599	AK026690	SMAD3					
11724	HT001 protein	Hs.100878	HT001 protein			10440392	AK027258	HT001					
3400		Hs.495710	Glycoprotein M6B			4175438	AI375448	GPM6B					
787		Hs.379858	Dimethylarginine dimethylaminohydrolase 1			6507029	AW207533	DDAH1					
11184		Hs.502378	Leukocyte receptor cluster (LRC) member 8			3330815	AI057026	LENG8					
7912	H3 histone, family 3A	Hs.533624	H3 histone, family 3A			184090	M11354	H3F3A					
19700	nucleoporin 37kDa	Hs.444276	Nucleoporin 37kDa			34193607	BC000861	NUP37					
7799		Hs.412406	FYVE, RhoGEF and PH domain containing 5			3917615	AI279381	FGD5					
7065		Hs.288232	CDNA: FLJ22642 fis, clone HSI06970			10439111	AK026295						
17280	tubulin-specific chaperone d	Hs.464391	Tubulin-specific chaperone d			38196937	BC012824	TBCD					
11429	PX domain containing serine/threonine kinase	Hs.190544	PX domain containing serine/threonine kinase			15680248	BC014479	PXK					
7234				Homo sapiens cDNA clone IMAGE:3946309, complete cds		13623602	BC006419						
9957	lysophospholipase-like 1	Hs.125291	Lysophospholipase-like 1			16876859	BC016711	LYPLAL1					
10461	ribosomal protein S6 kinase, 70kDa, polypeptide 1	Hs.463642	Ribosomal protein S6 kinase, 70kDa, polypeptide 1			189509	M60725	RPS6KB1					
12704	sialidase 4	Hs.414300	Sialidase 4			10438189	AK025617	NEU4					
7391	family with sequence similarity 50, member A	Hs.54277	Family with sequence similarity 50, member A			33990721	BC000028	FAM50A					
16087	tumor necrosis factor receptor superfamily, member 12A	Hs.355899	Tumor necrosis factor receptor superfamily, member 12A			33877070	BC002718	TNFRSF12A					
20670		Hs.18564	Hypothetical protein MGC40405			2820670	AA769432	MGC40405					
12589	variably charged X-C	Hs.278906	Variably charged X-C			15149009	AF167080	VCX-C					
5880	polymerase (DNA directed), epsilon 2 (p59 subunit)					2697122	AF025840	POLE2					
8925		Hs.63841	Kelch repeat and BTB (POZ) domain containing 7			14339081	BG939709	KBTBD7					
10470				xg75h08.x1 NCI_CGAP_Ut4 Homo sapiens cDNA clone IMAGE:2634207 3' similar to TR:O00160 O00160 MYOSIN-IE ;, mRNA sequence		6398961	AW167436						
15590	mitogen-activated protein kinase kinase kinase kinase 4	Hs.431550	Mitogen-activated protein kinase kinase kinase kinase 4			6808458	AL137755	MAP4K4					
8709		Hs.503001	Suppressor of variegation 4-20 homolog 1 (Drosophila)			4764423	AI660840	SUV420H1					
18362	activator of S phase kinase	Hs.489037	Activator of S phase kinase			4996095	AB028069	ASK					
3588	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	Hs.463511	Hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)			4186037	AJ012590	H6PD					
18149		Hs.9911	Hypothetical protein FLJ11773			3922223	AI283990	FLJ11773					
6511	transmembrane 7 superfamily member 3	Hs.438641	Transmembrane 7 superfamily member 3			33873166	BC005176	TM7SF3					
7297	kinetochore associated 1	Hs.300559	Kinetochore associated 1			5635950	AI916095	KNTC1					
7895		Hs.447579	Hypothetical protein LOC339290			4312185	AI458179	LOC339290					
12046	hypothetical protein FLJ10996	Hs.107845	Hypothetical protein FLJ10996			3387954	AF070582	FLJ10996					
20535	fibronectin 1	Hs.203717	Fibronectin 1			47132546	NM_054034	FN1					
20029							AL136915						
13799	renal tumor antigen	Hs.104119	Renal tumor antigen			5139688	AB022694	RAGE					
1818	zinc finger, CCHC domain containing 8					7018504	AL157433	ZCCHC8					
2176	HLA-B associated transcript 5					10437905	AK025398	BAT5					
7864		Hs.473256	Laminin, alpha 5			6140963	AW136830	LAMA5					
9375	hypothetical protein FLJ12436	Hs.187657	Hypothetical protein FLJ12436			15080504	BC011993	FLJ12436					
4414	BBP-like protein 1	Hs.7471	BBP-like protein 1			39644505	BC004878	BLP1					
8990		Hs.95162	Potassium voltage-gated channel, KQT-like subfamily, member 1			1496865	AA029452	KCNQ1OT1					
16946	pancreatic polypeptide 2	Hs.20588	Pancreatic polypeptide 2			8163840	AF222903	PPY2					
12771	CDC45 cell division cycle 45-like (S. cerevisiae)	Hs.474217	CDC45 cell division cycle 45-like (S. cerevisiae)			34335230	NM_003504	CDC45L					
21687		Hs.511816	GrpE-like 2, mitochondrial (E. coli)			4309072	AI453254	GRPEL2					
14729		Hs.21213	Myosin VA (heavy polypeptide 12, myoxin)			10809215	BF055319	MYO5A					
13057		Hs.211472	Hypothetical protein FLJ12800			3428138	AI089079	FLJ12800					
10372	double homeobox, 2					3414864	AF068744	DUX2					
10417	bolA-like 1 (E. coli)	Hs.13880	CGI-143 protein			33877158	BC002771	BOLA1					
5368		Hs.193825	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform			3989573	AI306502	PPP2R2B					
1788	SET domain, bifurcated 2	Hs.446217	SET domain, bifurcated 2			13699243	AF334407	SETDB2					
4875	neurotrophin 5 (neurotrophin 4/5)	Hs.266902	Neurotrophin 5 (neurotrophin 4/5)			34190258	BC012421	NTF5					
20291	eukaryotic translation initiation factor 4E binding protein 1	Hs.411641	Eukaryotic translation initiation factor 4E binding protein 1			13325289	BC004459	EIF4EBP1					
19977				oz06e03.x1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:1674556 3' similar to contains HGR.t1 MER26 repetitive element ;, mRNA sequence		3331207	AI057341						
7697	SMA5	Hs.519366	Similar to SMA5 protein			603029	X83301	SMA5					
10515		Hs.434980	Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)			5448217	AI827546	APP					
5633	endomucin	Hs.152913	Endomucin			8547214	AF205940	EMCN					
1881	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	Hs.490765	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3			3309530	AF031815	KCNN3					
12846		Hs.500067	Protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)			768503	R16255	PPP3CB					
3241	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)	Hs.153629	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)			5174542	NM_005919	MEF2B					
13518		Hs.129636	Transcribed locus			3927570	AI287817						
21883		Hs.21703	Potassium voltage-gated channel, Shal-related subfamily, member 2			3756792	AI204186	KCND2					
19066	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)					10438833	AK026094	UBE2H					
17920	RAN binding protein 2	Hs.199561	RAN binding protein 2			10438317	AK025711	RANBP2					
579	rhabdoid tumor deletion region gene 1	Hs.526920	Rhabdoid tumor deletion region gene 1			6049161	AF133587	RTDR1					
2058		Hs.75285	Inter-alpha (globulin) inhibitor H2			2064531	AA406494	ITIH2					
15910											agilent control, positive		
12979		Hs.106311	Similar to POM121 membrane glycoprotein-like 1			796047	R38591	DGCR9					
5563	HCV F-transactivated protein 1	Hs.173705	HCV F-transactivated protein 1			10438305	AK025703	LOC401152					
16334	pre-T/NK cell associated protein					306322	L17325	1D12A					
4086											agilent control, negative		
4423		Hs.270499	Spen homolog, transcriptional regulator (Drosophila)			6024447	AW069449	SPEN					
15502		Hs.476018	Catenin (cadherin-associated protein), beta 1, 88kDa			5636135	AI916280	CTNNB1					
2126	RB-associated KRAB repressor					7243632	AF226869	RBAK					
13843		Hs.436996	Phosphatase and actin regulator 1			6471129	AW192343	PHACTR1					
19742		Hs.150019	Transcribed locus, strongly similar to XP_516765.1 similar to centrosome protein Cep63 [Pan troglodytes]			10031823	BE671282						
4606				UI-H-BW1-ame-b-02-0-UI.s1 NCI_CGAP_Sub7 Homo sapiens cDNA clone IMAGE:3069626 3', mRNA sequence		6993288	AW452512						
7720				UI-H-BI4-aoo-f-12-0-UI.s1 NCI_CGAP_Sub8 Homo sapiens cDNA clone IMAGE:3085606 3', mRNA sequence		11591906	BF508608						
21625	GLI-Kruppel family member HKR3	Hs.502330	GLI-Kruppel family member HKR3			34189289	BC013573	HKR3					
4354		Hs.514802	Zinc finger protein 24 (KOX 17)			1124044	H99376	ZNF24					
15251		Hs.519666	Hypothetical gene supported by BX640700			5554565	AI880516						
9579		Hs.494977	EGF-like-domain, multiple 5			6837974	AW341348	EGFL5					
11222		Hs.476697	Transcribed locus, strongly similar to NP_002793.2 proteasome (prosome, macropain) 26S subunit, ATPase, 1 [Homo sapiens]			5755930	AI963217						
1756		Hs.490287	Transcriptional intermediary factor 1			5590595	AI885431	TIF1					
21377		Hs.434927	Transmembrane protein 39A			6993752	AW452976	TMEM39A					
19935	coronin 7	Hs.7258	Coronin 7			10438266	AK025674	CORO7					
3440											agilent control, negative		
1371	insulin receptor substrate 1	Hs.471508	Insulin receptor substrate 1			5031804	NM_005544	IRS1					
15739							BC018085						
12069		Hs.551565	Peroxisomal lon protease			6700786	AW294150	LONP					
1845	ribosomal protein L23a pseudogene 7	Hs.469751	Ribosomal protein L23a pseudogene 7			1150422	X92108	RPL23AP7					
15268	cysteine-rich hydrophobic domain 2	Hs.335393	Cysteine-rich hydrophobic domain 2			5917667	AF159423	CHIC2					
18965	ribosomal protein L28	Hs.356371	Ribosomal protein L28			15079502	BC011582	RPL28					
16234				wd67e09.x1 NCI_CGAP_Lu24 Homo sapiens cDNA clone IMAGE:2336680 3', mRNA sequence		4971545	AI694205						
5927		Hs.438265	Transglutaminase 4 (prostate)			11681845	BF589521	TGM4					
17724	glycoprotein hormones, alpha polypeptide	Hs.119689	Glycoprotein hormones, alpha polypeptide			15012102	BC010957	CGA					
7195	histamine receptor H4	Hs.287388	Histamine receptor H4			13094918	AF312230	HRH4					
8022		Hs.513954	Hepatoma-derived growth factor, related protein 3			6453585	AL133102	HDGFRP3					
10748							AJ272034						
19101				wr43f06.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:2490467 3' similar to TR:P70467 P70467 REVERSE TRANSCRIPTASE ;contains L1.t3 L1 repetitive element ;, mRNA sequence		5769619	AI972793						
20870	protocadherin beta 14	Hs.283678	Protocadherin beta 14			14195602	NM_018934	PCDHB14					
17234		Hs.529860	Hypothetical gene supported by AK024177			6133704	AW132097						
13918		Hs.499000	DnaJ (Hsp40) homolog, subfamily C, member 1			6506556	AW207060	DNAJC1					
11197		Hs.531560	Hypothetical protein FLJ37549			2355335	AA580008	FLJ37549					
11644		Hs.47288	Transient receptor potential cation channel, subfamily M, member 3			7018483	AL157467	TRPM3					
22549											agilent control, positive		
5166		Hs.507704	START domain containing 13			17121941	BM127389	STARD13					
13007		Hs.121333	Myelin-associated oligodendrocyte basic protein			6986940	AW445178	MOBP					
21827							X59511						
8201		Hs.138294	CDNA FLJ36815 fis, clone ASTRO2003740			4018090	AI312485						
20666							BC008952						
20746	hypothetical protein MGC16385	Hs.551572	Hypothetical protein MGC16385			40225305	BC009263	MGC16385					
4958	zinc finger and BTB domain containing 4	Hs.35096	Zinc finger and BTB domain containing 4			16307610	BC015902	ZBTB4					
10017		Hs.36761	HRAS-like suppressor			6575262	AW241508	HRASLS					
5506							BC013798						
15159	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	Hs.515515	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1			33874070	BC008958	KDELR1					
14784	histone deacetylase 8	Hs.310536	Histone deacetylase 8			7710995	AJ277724	HDAC8					
2097		Hs.526432	Nudix (nucleoside diphosphate linked moiety X)-type motif 14			13791819	BG654410	NUDT14					
10115		Hs.13268	Kelch-like 11 (Drosophila)			3538457	AI122691	KLHL11					
19285	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	Hs.418668	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit			33876640	BC002389	ATP5D					
10008	hypothetical protein FLJ20294	Hs.546404	Hypothetical protein FLJ20294			7020291	AK000301	FLJ20294					
15207		Hs.499489	Membrane-associated ring finger (C3HC4) 8			10437995	AK025472	MIR					
9855				wg18e01.x1 Soares_NSF_F8_9W_OT_PA_P_S1 Homo sapiens cDNA clone IMAGE:2365464 3', mRNA sequence		5109219	AI740931						
11111	chaperonin containing TCP1, subunit 3 (gamma)	Hs.491494	Chaperonin containing TCP1, subunit 3 (gamma)			14124983	BC008019	CCT3					
12465		Hs.408652	KIAA1797			10433806	AK022414	KIAA1797					
20968	keratin 3					34047	X05421	KRT3					
13109		Hs.443161	Dihydropyrimidinase			9875479	AV654465	DPYS					
5178		Hs.229335	Kringle containing transmembrane protein 1			6028988	AW073990	KREMEN1					
6175	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)	Hs.523848	Myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)			6691913	AJ223366	MYEOV					
9833	mitogen-activated protein kinase 8 interacting protein 3	Hs.207763	Mitogen-activated protein kinase 8 interacting protein 3			27529813	AB028989	MAPK8IP3					
5082	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	Hs.279920	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide			31742479	NM_003404	YWHAB					
4749				on15h10.s1 NCI_CGAP_Lu5 Homo sapiens cDNA clone IMAGE:1556803 3' similar to contains L1.t1 L1 repetitive element ;, mRNA sequence		3094402	AA936484						
15242	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	Hs.384598	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)			34783172	BC011171	SERPING1					
22558											agilent control, positive		
14929	WD repeat domain 1	Hs.128548	WD repeat domain 1			53729350	NM_017491	WDR1					
18187				ti20c05.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2131016 3', mRNA sequence		4298572	AI434780						
8226	solute carrier family 25 (mitochondrial carrier, brain), member 14	Hs.194686	Solute carrier family 25 (mitochondrial carrier, brain), member 14			3851539	AF078544	SLC25A14					
9179	zinc finger, CCHC domain containing 2	Hs.114191	Zinc finger, CCHC domain containing 2			13623474	BC006340	ZCCHC2					
16352		Hs.469561	UDP-glucuronate decarboxylase 1			5540234	AI867218	UXS1					
5022		Hs.412462	R3H domain (binds single-stranded nucleic acids) containing			10439983	AK026987	R3HDM					
8124		Hs.368690	Transcribed locus			2987363	AA878398						
4997	polymerase (RNA) III (DNA directed) polypeptide C (62kD)	Hs.550501	Polymerase (RNA) III (DNA directed) polypeptide C (62kD)			12803518	BC002586	POLR3C					
613				Homo sapiens NAG-5 protein mRNA, complete cds		6996650	AF149297						
9											agilent control, positive		
4024		Hs.126857	Hypothetical protein LOC149832			10030218	BE669677	LOC149832					
2041	interleukin 17E	Hs.302036	Interleukin 17E			11878209	AF305200	IL17E					
20328	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	Hs.290404	Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3			34189937	BC001328	SLC25A3					
15011	chromosome 11 open reading frame 33	Hs.179100	Chromosome 11 open reading frame 33			7020022	AK000134	C11orf33					
19000	endothelial cell growth factor 1 (platelet-derived)	Hs.546251	Endothelial cell growth factor 1 (platelet-derived)			17390354	BC018160	ECGF1					
12108		Hs.516249	Interleukin 1 receptor, type I			2945267	AA856965	IL1R1					
18575	zinc finger and BTB domain containing 1	Hs.400802	Zinc finger and BTB domain containing 1			4589637	AB023214	ZBTB1					
21179	solute carrier family 27 (fatty acid transporter), member 1	Hs.363138	Solute carrier family 27 (fatty acid transporter), member 1			15341922	BC013149	SLC27A1					
4073	testis-specific transcript, Y-linked 2	Hs.158345	Testis-specific transcript, Y-linked 2			2580567	AF000991	TTTY2					
1353		Hs.505326	NEL-like 2 (chicken)			5766653	AI969835	NELL2					
6708	neurotensin	Hs.80962	Neurotensin			15012040	BC010918	NTS					
6812	chromosome 9 open reading frame 28	Hs.162659	Chromosome 9 open reading frame 28			12652742	BC000122	C9orf28					
2671	myotubularin related protein 8	Hs.442892	Myotubularin related protein 8			15214550	BC012399	MTMR8					
5811	Coenzyme A synthase	Hs.296422	Coenzyme A synthase			9502026	AF208536	COASY					
5959	HSPC157 protein	Hs.279842	HSPC157 protein			6841535	AF161506	HSPC157					
15606		Hs.185674	Zinc finger protein 331			3095206	AA937095	ZNF331					
