^Annotation
!Annotation_date = 05/20/2005 15:03:40
!Annotation_platform = GPL91
!Annotation_platform_title =Affymetrix GeneChip Human Genome U95 Version 2 Set HG-U95A
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
31363_at				35b12 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307555	W27607						
31364_i_at		Hs.371987	Nuclear factor of activated T-cells 5, tonicity-responsive			1307710	W27762	NFAT5					
31365_f_at		Hs.371987	Nuclear factor of activated T-cells 5, tonicity-responsive			1307710	W27762	NFAT5					
31366_at		Hs.187354	Nuclear receptor subfamily 2, group E, member 3			1307819	W27871	NR2E3					
31367_at		Hs.200747	KIAA0998			1307843	W27895	KIAA0998					
31368_at		Hs.458986	Zinc finger protein 291			1307915	W27967	ZNF291					
31369_at				43c10 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308132	W28184						
31370_at				43d1 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308139	W28191						
31371_at				43d7 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308145	W28197						
31372_at		Hs.501911	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4			1308169	W28203	GALNTL4					
31373_at		Hs.148970	Transmembrane protein 16B			1308197	W28249	TMEM16B					
31374_at		Hs.125348	Chromosome 4 open reading frame 8			1308216	W28268	C4orf8					
31375_at				48c8 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308494	W28546						
31376_at				54a1 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308884	W28918						
31377_r_at		Hs.193613	Transportin 3			1307375	W26469	TNPO3					
31378_at	paired-like homeodomain transcription factor 3	Hs.137568	Paired-like homeodomain transcription factor 3			3258632	AF041339	PITX3					
31379_at	chromosome 9 open reading frame 33	Hs.137570	Chromosome 9 open reading frame 33			3265149	AF072164	C9orf33					
31380_at	endoplasmic reticulum to nucleus signalling 1	Hs.133982	Endoplasmic reticulum to nucleus signalling 1			3300093	AF059198	ERN1					
31381_at	peptidoglycan recognition protein 1	Hs.137583	Peptidoglycan recognition protein 1			3342532	AF076483	PGLYRP1					
31382_f_at	UDP glycosyltransferase 2 family, polypeptide B11	Hs.339811	UDP glycosyltransferase 2 family, polypeptide B11			3360272	AF016492	UGT2B11					
31383_at	caspase 13, apoptosis-related cysteine protease					3386522	AF078533	CASP13					
31384_at				50g10 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308668	W28702						
31385_at	ribosomal protein L28	Hs.356371	Ribosomal protein L28			550018	U14969	RPL28					
31386_at	immunoglobulin kappa variable 1/OR15-118					185958	M20812	IGKV1OR15-118					
31387_at	double homeobox, 2					3414864	AF068744	DUX2					
31388_at	early lymphoid activation protein	Hs.226483	Diaphanous homolog 2 (Drosophila)			468321	L22650	EPAG					
31389_at	oxidative stress induced like					1184950	U46752	OSIL					
31390_at	zinc finger protein 154 (pHZ-92)	Hs.439713	Zinc finger protein 154 (pHZ-92)			676874	U20648	ZNF154					
31391_at	huntingtin-associated protein 1 (neuroan 1)	Hs.158300	Huntingtin-associated protein 1 (neuroan 1)			3282690	AF040723	HAP1					
31392_r_at	chromosome 1 open reading frame 1	Hs.476389	Chromosome 1 open reading frame 1			3282236	U88965	C1orf1					
31393_r_at	undifferentiated embryonic cell transcription factor 1	Hs.458406	Undifferentiated embryonic cell transcription factor 1			3688603	AB011076	UTF1					
31394_at	serine (or cysteine) proteinase inhibitor, clade I (pancpin), member 2	Hs.445555	Serine (or cysteine) proteinase inhibitor, clade I (pancpin), member 2			3724281	AB006423	SERPINI2					
31395_i_at	musashi homolog 1 (Drosophila)	Hs.158311	Musashi homolog 1 (Drosophila)			3786319	AB012851	MSI1					
31396_r_at	musashi homolog 1 (Drosophila)	Hs.158311	Musashi homolog 1 (Drosophila)			3786319	AB012851	MSI1					
31397_at				Human DNA sequence from clone RP1-199L16 on chromosome Xq22.1-22.3 Contains a ribosomal protein S29 (RPS29) pseudogene, complete sequence		21212883	AL022151						
31398_at	ATP-binding cassette, sub-family B (MDR/TAP), member 11	Hs.158316	ATP-binding cassette, sub-family B (MDR/TAP), member 11			3873242	AF091582	ABCB11					
31399_at	bone morphogenetic protein 10	Hs.158317	Bone morphogenetic protein 10			3873290	AF101441	BMP10					
31400_at	diacylglycerol kinase, beta 90kDa	Hs.487619	Diacylglycerol kinase, beta 90kDa			3882156	AB018261	DGKB					
31401_r_at	KIAA0789 gene product	Hs.143591	KIAA0789 gene product			14133216	AB018332	KIAA0789					
31402_at	minor histocompatibility antigen HB-1	Hs.158320	Minor histocompatibility antigen HB-1			3901429	AF103884	HB-1					
31403_at	solute carrier family 18 (vesicular monoamine), member 1	Hs.158322	Solute carrier family 18 (vesicular monoamine), member 1			1314289	U39905	SLC18A1					
31404_at	G protein-coupled receptor kinase 1					3955189	AF019765	GRK1					
31405_at	melatonin receptor 1B	Hs.147853	Melatonin receptor 1B			971193	U25341	MTNR1B					
31406_at	G protein-coupled receptor 50	Hs.158329	G protein-coupled receptor 50			1326154	U52219	GPR50					
31407_at	protease, serine, 7 (enterokinase)	Hs.149473	Protease, serine, 7 (enterokinase)			746412	U09860	PRSS7					
31408_at	retinal pigment epithelium-derived rhodopsin homolog	Hs.352262	Retinal pigment epithelium-derived rhodopsin homolog			2307009	AF012270	RRH					
31409_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10	Hs.158339	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10			1065408	U35459	SERPINB10					
31410_at	tumor necrosis factor receptor superfamily, member 13B	Hs.158341	Tumor necrosis factor receptor superfamily, member 13B			2554947	AF023614	TNFRSF13B					
31411_at	basic charge, Y-linked, 2	Hs.158342	Basic charge, Y-linked, 2			2580545	AF000980	BPY2					
31412_at	PTPN13-like, Y-linked	Hs.158343	PTPN13-like, Y-linked			21270255	AF000988	PRY					
31413_at	testis-specific transcript, Y-linked 1	Hs.158344	Testis-specific transcript, Y-linked 1			2580565	AF000990	TTTY1					
31414_at	testis-specific transcript, Y-linked 2	Hs.158345	Testis-specific transcript, Y-linked 2			2580567	AF000991	TTTY2					
31415_at	X Kell blood group precursor-related, Y-linked	Hs.158346	X Kell blood group precursor-related, Y-linked			2580579	AF000997	XKRY					
31416_at	membrane-bound transcription factor protease, site 2	Hs.443490	Membrane-bound transcription factor protease, site 2			2745732	AF019612	MBTPS2					
31417_at	hypocretin (orexin) neuropeptide precursor	Hs.158348	Hypocretin (orexin) neuropeptide precursor			2897117	AF041240	HCRT					
31418_at	patatin-like phospholipase domain containing 5					2916859	Z97055	PNPLA5					
31419_r_at	short stature homeobox 2	Hs.55967	Short stature homeobox 2			2979681	AF023203	SHOX2					
31420_at	crystallin, beta B2 pseudogene 1					3171883	AL008721	CRYBB2P1					
31421_at	myosin, light polypeptide 4, alkali; atrial, embryonic					34677	X52005	MYL4					
31422_at	keratin, hair, acidic, 7					3724115	Y16793	KRTHA7					
31423_at				Human DNA sequence from clone CTB-1109B5 on chromosome 22, complete sequence		2808416	AL021306						
31424_at	olfactory receptor, family 2, subfamily F, member 1					3766130	AC004853	OR2F1					
31425_g_at	olfactory receptor, family 2, subfamily F, member 1					3766130	AC004853	OR2F1					
31426_at	G protein-coupled receptor 15					1171145	U34806	GPR15					
31427_at		Hs.550193	Unidentified mRNA, partial sequence.			1171236	U43604						
31428_at	olfactory receptor, family 5, subfamily I, member 1					1336040	U56420	OR5I1					
31429_at	T cell receptor alpha variable 5					2358025	AE000659	TRAV5					
31430_at	T cell receptor alpha variable 5					2358025	AE000659	TRAV5					
31431_at	Fc fragment of IgG, receptor, transporter, alpha	Hs.111903	Fc fragment of IgG, receptor, transporter, alpha			595474	U12255	FCGRT					
31432_g_at	Fc fragment of IgG, receptor, transporter, alpha	Hs.111903	Fc fragment of IgG, receptor, transporter, alpha			595474	U12255	FCGRT					
31433_at	olfactory receptor, family 2, subfamily B, member 3					3093312	AL022727	OR2B3					
31434_at				Homo sapiens aconitase precursor (ACON) mRNA, nuclear gene encoding mitochondrial protein, partial cds		3600097	AF086790						
31435_at	a disintegrin and metalloproteinase domain 7	Hs.166003	A disintegrin and metalloproteinase domain 7			3643252	AF090327	ADAM7					
31436_s_at	estrogen receptor 2 (ER beta)	Hs.443150	Estrogen receptor 2 (ER beta)			3094026	AF061055	ESR2					
31437_r_at	estrogen receptor 2 (ER beta)	Hs.443150	Estrogen receptor 2 (ER beta)			3094026	AF061055	ESR2					
31438_s_at	CD163 antigen	Hs.504641	CD163 antigen			312147	Z22971	CD163					
31439_f_at	Rhesus blood group, CcEe antigens	Hs.449968	Rhesus blood group, CcEe antigens			36042	X63095	RHCE					
31440_at	transcription factor 7 (T-cell specific, HMG-box)	Hs.519580	Transcription factor 7 (T-cell specific, HMG-box)			619886	Z47363	TCF7					
31441_at				Human ECRP gene for eosinophil cationic related protein		22940	X55989						
31442_at				H.sapiens carcinoembryonic antigen gene		437783	Z21818						
31443_at	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	Hs.149261	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)			913288	S76346	RUNX1					
31444_s_at	annexin A2 pseudogene 3	Hs.448622	Annexin A2 pseudogene 3			187145	M62895	ANXA2P3					
31445_at	SHC (Src homology 2 domain containing) transforming protein 1 pseudogene 1					1834516	Y09846	SHC1P1					
31446_s_at	submaxillary gland androgen regulated protein 3 homolog A (mouse)					1854451	D89501	SMR3A					
31447_at		Hs.331431	SCC-112 protein			1890646	U63542	SCC-112					
31448_s_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	Hs.546340	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2			1907320	U82277	LILRA2					
31449_at		Hs.419777	T-cell receptor beta chain V3-D-J2.7-C2 region			2275604	AF009787						
31450_s_at	Ras-like without CAAX 2	Hs.464985	Ras-like without CAAX 2			2286102	U78166	RIT2					
31451_at	Rho GTPase activating protein 1	Hs.138860	Rho GTPase activating protein 1			2326170	U62794	ARHGAP1					
31452_at	survival motor neuron pseudogene					2351795	U91640	SMNP					
31453_s_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	Hs.534393	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1			2653866	AF025530	LILRA1					
31454_f_at				Homo sapiens RIG-like 5-6 mRNA, complete cds		2724107	AF034209						
31455_r_at				Homo sapiens RIG-like 5-6 mRNA, complete cds		2724107	AF034209						
31456_at	O-acyltransferase (membrane bound) domain containing 1					2769539	AL008627	OACT1					
31457_at	forkhead box D2	Hs.166188	Forkhead box D2			3090886	AF042832	FOXD2					
31458_at	cytokeratin 2	Hs.512601	Cytokeratin 2			181389	M99063	KRT2B					
31459_i_at		Hs.449585	Immunoglobulin lambda variable 3-21			2865483	AF043586	IGLC2					
31460_f_at		Hs.449585	Immunoglobulin lambda variable 3-21			2865483	AF043586	IGLC2					
31461_at				Homo sapiens putative peroxisome microbody protein 175.1 mRNA, complete cds		2961556	AF050199						
31462_f_at	synovial sarcoma, X breakpoint 5	Hs.166198	Synovial sarcoma, X breakpoint 5			2952024	U90842	SSX5					
31463_s_at	phenylalanine-tRNA synthetase 2 (mitochondrial)					3169107	AL022097	FARS2					
31464_at	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	Hs.301865	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)			3319962	AJ000503	DCT					
31465_g_at	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	Hs.301865	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)			3319962	AJ000503	DCT					
31466_at		Hs.545653	Major histocompatibility complex, class II, DR beta 6 (pseudogene)			3320135	U33547	HLA-DRB6					
31467_at	major histocompatibility complex, class II, DO alpha	Hs.351874	Major histocompatibility complex, class II, DO alpha			184159	M38056	HLA-DOA					
31468_f_at		Hs.32945	Glutamate receptor, metabotropic 1			1306650	W26104	GRM1					
31469_s_at		Hs.478868	KIAA0226			1306750	W27234	KIAA0226					
31470_at		Hs.282702	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2			1307552	W27604	PFKFB2					
31471_at				Human DNA sequence from clone RP4-733D15 on chromosome Xp11.3 Contains a pseudogene similar to part of a zinc-finger protein and the 3' end of a variant of a novel gene, complete sequence		3646112	AL031393						
31472_s_at	CD44 antigen (homing function and Indian blood group system)	Hs.502328	CD44 antigen (homing function and Indian blood group system)			3832517	AF098641	CD44					
31473_s_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	Hs.370267	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase			3929222	AF082558	TNKS					
31474_r_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	Hs.370267	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase			3929222	AF082558	TNKS					
31475_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	Hs.370267	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase			3929224	AF082559	TNKS					
31476_g_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	Hs.370267	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase			3929224	AF082559	TNKS					
31477_at	trefoil factor 3 (intestinal)	Hs.82961	Trefoil factor 3 (intestinal)			307520	L08044	TFF3					
31478_at	elastase 2B	Hs.169234	Elastase 2B			182059	M16653	ELA2B					
31479_f_at	dihydrofolate reductase pseudogene 1	Hs.169235	Dihydrofolate reductase pseudogene 1			182732	J00146	DHFRP1					
31480_f_at	melanoma antigen family A, 12					499345	L18877	MAGEA12					
31481_s_at	thymosin, beta 10					339696	M92383	TMSB10					
31482_at	carboxyl ester lipase pseudogene	Hs.511751	Carboxyl ester lipase pseudogene			409423	L14813	CELP					
31483_g_at	carboxyl ester lipase pseudogene	Hs.511751	Carboxyl ester lipase pseudogene			409423	L14813	CELP					
31484_at				H.sapiens 14A6CK DNA sequence		667005	X72882						
31485_at	phosphoribosyl pyrophosphate synthetase 1-like 1	Hs.169284	Phosphoribosyl pyrophosphate synthetase 1-like 1			190521	M57423	PRPS1L1					
31486_s_at	meningioma (disrupted in balanced translocation) 1	Hs.268515	Meningioma (disrupted in balanced translocation) 1			1235523	Z70218	MN1					
31487_at	fasciculation and elongation protein zeta 2 (zygin II)					306331	L17328	FEZ2					
31488_s_at		Hs.78771	Phosphoglycerate kinase 1			1470308	S81916	PGK1					
31489_at		Hs.532632	Ataxin 3			1480862	U63332	ATXN3					
31490_at	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)					184038	M77235	SCN5A					
31491_s_at	caspase 8, apoptosis-related cysteine protease	Hs.369736	Caspase 8, apoptosis-related cysteine protease			1403326	X98175	CASP8					
31492_at	eukaryotic translation initiation factor 3, subunit 12	Hs.314359	Eukaryotic translation initiation factor 3, subunit 12			4587122	AB019392	EIF3S12					
31493_s_at	growth hormone 1					183148	J03071	GH1					
31494_at		Hs.546445	Kv channel interacting protein 4			464187	D25272	KCNIP4					
31495_at	chemokine (C motif) ligand 2					1754608	D63789	XCL2					
31496_g_at	chemokine (C motif) ligand 2					1754608	D63789	XCL2					
31497_at	G antigen 1	Hs.460641	G antigen 7			914898	U19142	GAGE1					
31498_f_at	G antigen 6	Hs.278606	G antigen 7B			914908	U19147	GAGE6					
31499_s_at	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	Hs.372679	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)			31321	X16863	FCGR3B					
31500_at				33g6 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307455	W26594						
31501_at				37d5 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307719	W27645						
31502_at				39h7 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307901	W27953						
31503_at				50h7 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1308680	W28732						
31504_at	high density lipoprotein binding protein (vigilin)	Hs.471851	High density lipoprotein binding protein (vigilin)			183891	M64098	HDLBP					
31505_at	ribosomal protein L8	Hs.178551	Ribosomal protein L8			433898	Z28407	RPL8					
31506_s_at	defensin, alpha 3, neutrophil-specific					292364	L12691	DEFA3					
31507_at	trinucleotide repeat containing 21					2565081	U80756	TNRC21					
31508_at	thioredoxin interacting protein	Hs.533977	Thioredoxin interacting protein			688296	S73591	TXNIP					
31509_at	ribosomal protein L13	Hs.410817	Ribosomal protein L13			29382	X64707	RPL13					
31510_s_at	H3 histone, family 3B (H3.3B)					761715	Z48950	H3F3B					
31511_at	ribosomal protein S9	Hs.546288	Ribosomal protein S9			550022	U14971	RPS9					
31512_at	immunoglobulin kappa variable 1-13					33146	Z00010	IGKV1-13					
31513_at	ladybird homeobox homolog 1 (Drosophila)	Hs.37128	Transcription factor similar to D. melanogaster homeodomain protein lady bird late			1617115	X90828	LBX1					
31514_at	docking protein 2, 56kDa	Hs.71215	Docking protein 2, 56kDa			3043918	AF034970	DOK2					
31515_at	motile sperm domain containing 3					3135305	AF053356	MOSPD3					
31516_f_at	basic transcription factor 3, like 1					179571	M90354	BTF3L1					
31517_f_at	basic transcription factor 3, like 2					1435190	M90355	BTF3L2					
31518_i_at	basic transcription factor 3, like 3					179575	M90356	BTF3L3					
31519_f_at	basic transcription factor 3, like 3					179575	M90356	BTF3L3					
31520_at	chromobox homolog 2 (Pc class homolog, Drosophila)					773207	X77824	CBX2					
31521_f_at	histone 1, H4j					32000	X60484	HIST1H4J					
31522_f_at	histone 1, H2bf					1568548	Z80779	HIST1H2BF					
31523_f_at	histone 1, H2be					1568550	Z80780	HIST1H2BE					
31524_f_at	histone 1, H2bi					1568554	Z80782	HIST1H2BI					
31525_s_at	hemoglobin, alpha pseudogene 1					183793	J00153	HBAP1					
31526_f_at	ubiquitin specific protease 6 (Tre-2 oncogene)	Hs.448851	Ubiquitin specific protease 6 (Tre-2 oncogene)			37332	X63547	USP6					
31527_at	ribosomal protein S2	Hs.356366	Ribosomal protein S2			34391	X17206	RPS2					
31528_f_at	histone 1, H2bm					1749801	Z83738	HIST1H2BM					
31529_at	keratin, hair, basic, 3	Hs.182506	Keratin, hair, basic, 3			1903215	X99141	KRTHB3					
31530_at	acetyl-Coenzyme A carboxylase beta					2138329	U89344	ACACB					
31531_g_at	acetyl-Coenzyme A carboxylase beta					2138329	U89344	ACACB					
31532_at	myelodysplasia syndrome 1	Hs.546266	Myelodysplasia syndrome 1			1294814	U43292	MDS1					
31533_s_at	potassium voltage-gated channel, Shal-related subfamily, member 3	Hs.414110	Potassium voltage-gated channel, Shal-related subfamily, member 3			2935435	AF048713	KCND3					
31534_at	zinc finger protein, Y-linked	Hs.522845	Zinc finger protein, Y-linked			340435	M30607	ZFY					
31535_i_at				39e3 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307869	W27858						
31536_at	reticulon 4	Hs.429581	Reticulon 4			4240260	AB020693	RTN4					
31537_at	ADP-ribosyltransferase 1	Hs.382188	ADP-ribosyltransferase 1			807099	S74683	ART1					
31538_at	ribosomal protein, large, P0	Hs.546285	Ribosomal protein, large, P0			190231	M17885	RPLP0					
31539_r_at		Hs.544229	(clone Z146) retinal mRNA, 3' end and repeat region.			393126	L23852						
31540_at	tumor necrosis factor receptor superfamily, member 9	Hs.193418	Tumor necrosis factor receptor superfamily, member 9			571320	U03397	TNFRSF9					
31541_at	UV-B repressed sequence, HUR 7	Hs.241407	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 13			1524079	X98307	HSHUR7SEQ					
31542_at	filaggrin	Hs.531478	Filaggrin			190403	M60502	FLG					
31543_at	proline rich, lacrimal 1	Hs.479905	Proline rich, lacrimal 1			1836021	S83198	PROL1					
31544_at	forkhead box I1	Hs.87236	Forkhead box I1			1911184	L13203	FOXI1					
