^Annotation
!Annotation_date = 05/18/2005 16:10:54
!Annotation_platform = GPL962
!Annotation_platform_title =CHUGAI 41K
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
67				qf34d01.x1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1751905 3' similar to contains Alu repetitive element;contains element PTR5 repetitive element ;, mRNA sequence		3678652	AI150183						
68		Hs.145137	Transcribed locus			3678445	AI149976						
69				qf30e09.x1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1751560 3' similar to contains element L1 repetitive element ;, mRNA sequence		3734272	AI183634						
70		Hs.137598	Transcribed locus, strongly similar to XP_531264.1 LOC465238 [Pan troglodytes]			3678330	AI149861						
71		Hs.529769	Transcribed locus			3678719	AI150250						
72		Hs.412708	Hypothetical protein FLJ40137			3678671	AI150202	FLJ40137					
73		Hs.508720	RAB20, member RAS oncogene family			3802865	AI220662	RAB20					
74		Hs.535644	Transcribed locus, strongly similar to XP_514608.1 similar to dJ309K20.1.1 (novel protein similar to dysferlin, isoform 1) [Pan troglodytes]			3764752	AI206080						
75		Hs.180744	Transcribed locus			3770908	AI208966						
76		Hs.147224	Transcribed locus			3764391	AI205719						
77		Hs.473470	GA binding protein transcription factor, alpha subunit 60kDa			3802929	AI220726	GABPA					
78				qg21h11.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1761765 3' similar to contains THR.t3 THR repetitive element ;, mRNA sequence		3765084	AI206412						
79		Hs.431498	Forkhead box P1			3764219	AI205547	FOXP1					
80		Hs.207457	Transcribed locus			3770084	AI208142						
81		Hs.143973	Transcribed locus			3785348	AI216307						
82				qg80c05.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1841480 3' similar to contains L1.b1 L1 L1 repetitive element ;, mRNA sequence		3802623	AI220420						
83		Hs.121380	Transcribed locus			3802048	AI219845						
84		Hs.520128	Transcribed locus			3801944	AI219741						
85		Hs.462108	Tektin 1			3801854	AI219651	TEKT1					
86				qg80f09.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1841513 3' similar to contains MER38.t1 MER38 repetitive element ;, mRNA sequence		3803397	AI221194						
87		Hs.463349	Hypothetical LOC404266			3802403	AI220200	LOC404266					
88		Hs.135465	E2F transcription factor 6			3419404	AI082612	E2F6					
89				ox64e08.s1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:1661126 3', mRNA sequence		3659236	AI142877						
90		Hs.477128	Steroid sensitive gene 1			3418975	AI082183	URB					
91		Hs.446255	Transient receptor potential cation channel, subfamily V, member 3			3701201	AI168031	TRPV3					
92		Hs.253197	Poly(A)-specific ribonuclease (deadenylation nuclease)			3758050	AI204988	PARN					
93		Hs.460579	Homo sapiens, clone IMAGE:5300185, mRNA			3433981	AI095005						
94		Hs.308169	Transcribed locus			3701488	AI168318						
95		Hs.521568	Glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)			3427096	AI088120	GCNT1					
96				an05g12.x1 Stratagene schizo brain S11 Homo sapiens cDNA clone IMAGE:1684774 3', mRNA sequence		3757972	AI204910						
97		Hs.118140	Dedicator of cytokinesis 4			3427811	AI088752	DOCK4					
98		Hs.120330	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2			3432705	AI093729	ADAMTS2					
99		Hs.166924	SEC13-like 1 (S. cerevisiae)			3721427	AI174574	SEC13L1					
100		Hs.133331	WD repeat domain 31			3308118	AI052127	WDR31					
101				oy43d12.s1 Soares_parathyroid_tumor_NbHPA Homo sapiens cDNA clone IMAGE:1668599 3', mRNA sequence		3416038	AI079787						
102				qb48a06.x1 NCI_CGAP_Brn23 Homo sapiens cDNA clone IMAGE:1703314 3' similar to contains L1.b1 L1 repetitive element ;, mRNA sequence		3679547	AI151078						
103		Hs.485636	Full-length cDNA clone CS0DI039YD12 of Placenta Cot 25-normalized of Homo sapiens (human)			3280848	AI041654						
104		Hs.407882	Ornithine decarboxylase antizyme 3			3279513	AI040319	OAZ3					
105		Hs.122310	Transcribed locus, strongly similar to XP_530274.1 LOC458133 [Pan troglodytes]			3422766	AI084343						
106		Hs.158870	Chromosome 10 open reading frame 97			3693618	AI160238	C10orf97					
107		Hs.143856	FLJ90680 protein			3736989	AI186351	FLJ90680					
108		Hs.230188	Zinc finger protein 471			3797383	AI217568	ZNF471					
109		Hs.516314	Transcribed locus			3743092	AI191883						
110		Hs.348751	CDNA clone IMAGE:5261375, partial cds			3741522	AI190313						
111		Hs.310809	Ganglioside induced differentiation associated protein 2			3593545	AI125031	GDAP2					
112				qd45e01.x1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:1732440 3', mRNA sequence		3756154	AI203548						
113		Hs.147115	Transcribed locus			3741921	AI190712						
114		Hs.132477	Transcribed locus, weakly similar to XP_547699.1 LOC490577 [Canis familiaris]			3735223	AI184585						
115		Hs.16370	CDNA FLJ11652 fis, clone HEMBA1004461			3665734	AI143925						
116		Hs.523151	Transcribed locus, weakly similar to XP_209041.2 KIAA1503 protein [Homo sapiens]			3644798	AI138826						
117		Hs.552618	Hypothetical protein LOC340351			3145139	AA970632	LOC340351					
118				op27f12.s1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1578095 3', mRNA sequence		3091525	AA934368						
119		Hs.144041	Transcribed locus			3148232	AA973052						
120		Hs.137641	Transcribed locus			3144093	AA968913						
121		Hs.410231	Chromosome 14 open reading frame 118			3146259	AA970969	C14orf118					
122		Hs.153408	LOC440030			3149751	AA974571						
123		Hs.539767	CDNA FLJ32661 fis, clone TESTI1000055, weakly similar to HOMEOBOX PROTEIN SIX1			3127712	AA961158						
124		Hs.540403	Transcribed locus			3144801	AA969621						
125		Hs.444980	Similar to dJ824F16.3 (novel protein similar to mouse thrombospondin type 1 domain protein R-spondin)			3179188	AA992432	LOC343637					
126		Hs.34068	Homo sapiens, clone IMAGE:3930408, mRNA			3181492	AA995003						
127		Hs.149566	Formin-like 2			3229078	AI014697	FMNL2					
128		Hs.300485	Protein kinase N3			3432616	AI093640	PKN3					
129				ot67a01.s1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1621800 3', mRNA sequence		3213392	AI003882						
130		Hs.372009	Homo sapiens, clone IMAGE:5194204, mRNA			3180939	AA994394						
131		Hs.518750	OCIA domain containing 1			3233116	AI018597	OCIAD1					
132		Hs.490715	Ring finger protein 32			3428223	AI089164	RNF32					
133		Hs.10688	Hypothetical protein MGC20470			3245634	AI028325	MGC20470					
134		Hs.124649	ATP-binding cassette, sub-family G (WHITE), member 1			3241397	AI025784	ABCG1					
135		Hs.409139	LOC440312			3246418	AI027488						
136		Hs.518299	Epithelial cell transforming sequence 2 oncogene			3249783	AI031571	ECT2					
137		Hs.132347	Transcribed locus			3245951	AI028642						
138		Hs.431498	Forkhead box P1			3241436	AI025823	FOXP1					
139		Hs.277624	Zinc finger, ZZ type with EF hand domain 1			3245214	AI027775	ZZEF1					
140		Hs.437704	Full-length cDNA clone CS0CAP006YI16 of Thymus of Homo sapiens (human)			3241321	AI025708						
141		Hs.120766	Zinc finger protein 330			3279395	AI040201	ZNF330					
142		Hs.7835	Mannose receptor, C type 2			3279272	AI040078	MRC2					
143		Hs.528833	Fatso			3281584	AI042390	FTO					
144		Hs.346489	CDNA FLJ35222 fis, clone PROST2000835			3419213	AI082421						
145		Hs.133166	Transcribed locus			3307064	AI051530						
146		Hs.128342	T-complex protein 1			3803844	AI221641	CESK1					
147				wc29c10.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2316594 3' similar to contains MSR1.t2 MER22 repetitive element ;, mRNA sequence		4851081	AI671350						
148		Hs.438720	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)			4899514	AI688220	MCM7					
149		Hs.468878	Similar to BMP2 inducible kinase			1209926	N62113						
150		Hs.530749	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1			3888108	AI268941	PPFIA1					
151		Hs.333079	Transcribed locus			2993474	AA883944						
152		Hs.268887	Serine/threonine kinase 17a (apoptosis-inducing)			2946124	AA857822	STK17A					
153		Hs.485899	Hypothetical protein DKFZp547A023			3000903	AA885795	DKFZp547A023					
154		Hs.208673	Nicotinamide nucleotide adenylyltransferase 3			3031039	AA894638	NMNAT3					
155		Hs.326357	Transcribed locus			2994148	AA884618						
156				oi14e06.s1 NCI_CGAP_GC4 Homo sapiens cDNA clone IMAGE:1476514 3', mRNA sequence		3002062	AA886954						
157		Hs.283900	Zinc finger protein 257			3001052	AA885944	ZNF257					
158		Hs.130086	Chromosome 9 open reading frame 52			3039804	AA904681	C9orf52					
159		Hs.116308	Transcribed locus			3052865	AA913473						
160		Hs.478383	Mitofusin 1			3070684	AA923375	MFN1					
161		Hs.126664	Transcribed locus			3058619	AA918729						
162				am56c02.x1 Johnston frontal cortex Homo sapiens cDNA clone IMAGE:1539554 3', mRNA sequence		3593307	AI124793						
163		Hs.126513	Transcribed locus			3053294	AA913902						
164		Hs.157031	Phosphatidylinositol glycan, class N			3070763	AA923454	PIGN					
165				ol75f01.s1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1535449 3' similar to contains MER27.b1 MER27 repetitive element ;, mRNA sequence		3057510	AA917620						
166		Hs.141012	Transcribed locus, weakly similar to XP_234581.2 immunoglobulin heavy chain (alpha polypeptide) [Rattus norvegicus]			3593145	AI124631						
167		Hs.55481	Zinc finger protein 165			3150712	AA974920	ZNF165					
168		Hs.117545	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)			3109839	AA948586	PDE4D					
169		Hs.190074	Diacylglycerol O-acyltransferase 2-like 4			3144515	AA969335	DGAT2L4					
170		Hs.549673	AF034176 Human mRNA (Tripodis and Ragoussis) Homo sapiens cDNA clone ntcon5 contig, mRNA sequence			3117084	AA952937						
171		Hs.434890	Hect domain and RLD 2			3151054	AA975262	HERC2					
172		Hs.132426	Transcribed locus, moderately similar to NP_710156.2 hypothetical protein FLJ38973 [Homo sapiens]			3109866	AA948613						
173		Hs.128067	Wiskott-Aldrich syndrome protein interacting protein			3146121	AA970831	WASPIP					
174		Hs.127242	Full-length cDNA clone CS0DI001YE02 of Placenta Cot 25-normalized of Homo sapiens (human)			3094418	AA936500						
175				yw81f06.s1 Soares_placenta_8to9weeks_2NbHP8to9W Homo sapiens cDNA clone IMAGE:258659 3' similar to contains Alu repetitive element;contains L1.t1 L1 repetitive element ;, mRNA sequence		1152630	N32231						
176				yx81h12.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:268199 3' similar to contains Alu repetitive element;, mRNA sequence		1141911	N27430						
177		Hs.369368	Hypothetical protein FLJ21924			2714349	AA704431	FLJ21924					
178				zj72f05.s1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:460449 3', mRNA sequence		2658199	AA677677						
179		Hs.493309	KIAA0020			2714945	AA705027	KIAA0020					
180		Hs.282670	Methionine adenosyltransferase I, alpha			2702775	AA699812	MAT1A					
181		Hs.353175	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)			2717240	AA707322	AGPAT4					
182		Hs.191330	CDNA FLJ42255 fis, clone TKIDN2009889			2703385	AA700422						
183				zj85b12.s1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:461663 3' similar to contains element MER22 repetitive element ;, mRNA sequence		2839247	AA779916						
184		Hs.435841	Trinucleotide repeat containing 15			2715088	AA705170	TNRC15					
185		Hs.208414	Mitochondrial carrier family protein			2538347	AA625960	MCFP					
186				ae37e03.s1 Gessler Wilms tumor Homo sapiens cDNA clone IMAGE:898012 3' similar to contains Alu repetitive element;, mRNA sequence		2432599	AA598927						
187		Hs.335614	SEC14-like 2 (S. cerevisiae)			4136469	AI366724	SEC14L2					
188		Hs.445857	Protease, serine, 12 (neurotrypsin, motopsin)			3076951	AA928660	PRSS12					
189		Hs.237658	Apolipoprotein A-II			3133566	AA961402	APOA2					
190		Hs.203952	Transformation/transcription domain-associated protein			3030829	AA894428	TRRAP					
191				zf72h03.s1 Soares_pineal_gland_N3HPG Homo sapiens cDNA clone IMAGE:382517 3', mRNA sequence		1558899	AA064778						
192		Hs.430742	PFTAIRE protein kinase 1			3148672	AA973492	PFTK1					
193		Hs.184945	Gastrulation brain homeo box 2			3090058	AA933790	GBX2					
194				ox85g07.s1 Soares_senescent_fibroblasts_NbHSF Homo sapiens cDNA clone IMAGE:1663164 3' similar to TR:Q99982 Q99982 XIAP ASSOCIATED FACTOR-1 ;contains L1.t2 L1 repetitive element ;, mRNA sequence		3597627	AI129113						
195		Hs.269988	ROD1 regulator of differentiation 1 (S. pombe)			3803968	AI221765	ROD1					
196		Hs.113275	Purinergic receptor P2X-like 1, orphan receptor			4108243	AI356622	P2RXL1					
197		Hs.204575	Chromosome 21 open reading frame 5			3086316	AA931930	C21orf5					
198		Hs.159226	Hyaluronan synthase 2			3659320	AI142961	HAS2					
199		Hs.72620	Chromosome 20 open reading frame 28			3839362	AI243965	C20orf28					
200				qz51e04.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2030430 3' similar to gb:X58199 ERYTHROCYTE ADDUCIN BETA SUBUNIT (HUMAN);, mRNA sequence		4394838	AI493835						
201		Hs.9383	Cysteine-rich with EGF-like domains 1			4851982	AI672251	CRELD1					
202		Hs.438265	Transglutaminase 4 (prostate)			4892542	AI682360	TGM4					
203		Hs.509651	Farnesyltransferase, CAAX box, beta			4888098	AI677916	FNTB					
204				yg89a07.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:40618 3', mRNA sequence		825820	R55745						
205		Hs.439040	RPE-spondin			2217613	AA487449	RPESP					
206				zd79g04.s1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:346902 3', mRNA sequence		1388698	W78164						
207		Hs.472409	Protein O-fucosyltransferase 1			2063164	AA405654	POFUT1					
208		Hs.445817	Hypothetical protein FLJ21106			900370	H29460	FLJ21106					
209				yb59e08.s1 Stratagene ovary (#937217) Homo sapiens cDNA clone IMAGE:75494 3', mRNA sequence		659503	T57642						
210		Hs.523446	Collagen, type XI, alpha 1			1219092	N66967	COL11A1					
211		Hs.465221	Ferrochelatase (protoporphyria)			1390694	W79443	FECH					
212		Hs.444724	5-azacytidine induced 2			2165949	AA452280	AZI2					
213		Hs.368253	Brain synembryn			689542	T72867	hSyn					
214				yy54c08.s1 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA clone IMAGE:277358 3', mRNA sequence		1201383	N57493						
215		Hs.205550	Valosin containing protein (p97)/p47 complex interacting protein 1			2063223	AA405241	VCIP135					
216				yf49g02.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:25507 3' similar to contains Alu repetitive element;contains MSR1 repetitive element ;, mRNA sequence		771307	R17697						
217				ae36d04.s1 Gessler Wilms tumor Homo sapiens cDNA clone IMAGE:897895 3' similar to contains MER29.b2 MER29 repetitive element ;, mRNA sequence		2432239	AA598656						
218		Hs.530261	Chromosome 9 open reading frame 103			1421864	W92712	C9orf103					
219				yf12f03.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:126653 3' similar to gb:X77738_rna1 BAND 3 ANION TRANSPORT PROTEIN (HUMAN);contains Alu repetitive element;, mRNA sequence		758828	R06905						
220				yg32e01.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:33878 3', mRNA sequence		823179	R44912						
221				yh39g11.s1 Soares placenta Nb2HP Homo sapiens cDNA clone IMAGE:132164 3', mRNA sequence		782304	R26169						
222				yi63a09.s1 Soares placenta Nb2HP Homo sapiens cDNA clone IMAGE:143896 3', mRNA sequence		851461	R76829						
223				yf57g12.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:26371 3' similar to contains Alu repetitive element;contains MIR repetitive element ;, mRNA sequence		820525	R20749						
224				yg83b05.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:39923 3' similar to gb:L21934 STEROL O-ACYLTRANSFERASE (HUMAN);, mRNA sequence		815840	R53938						
225		Hs.477789	ATPase, Na+/K+ transporting, beta 3 polypeptide			792120	R35219	ATP1B3					
226				yi96h07.s1 Soares placenta Nb2HP Homo sapiens cDNA clone IMAGE:147133 3', mRNA sequence		856545	R80264						
227		Hs.512715	Werner syndrome			1196219	N54899	WRN					
228				yv64c06.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:247498 3' similar to contains Alu repetitive element;, mRNA sequence		1201971	N58081						
229				yw68b12.s1 Soares_placenta_8to9weeks_2NbHP8to9W Homo sapiens cDNA clone IMAGE:257375 3' similar to gb:X68203 TYROSINE-PROTEIN KINASE RECEPTOR FLT4 PRECURSOR (HUMAN);, mRNA sequence		1141517	N27169						
230				yx67g07.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:266844 3' similar to contains Alu repetitive element;contains element L1 repetitive element ;, mRNA sequence		1138270	N24120						
231		Hs.90458	Serine palmitoyltransferase, long chain base subunit 1			1198067	N55188	SPTLC1					
232		Hs.153458	Hypothetical protein FLJ25778			1203542	N59652	FLJ25778					
233		Hs.437585	Epimorphin			1548876	AA056536	EPIM					
234		Hs.183706	Adducin 1 (alpha)			749839	R00103	ADD1					
235		Hs.469116	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)			1079960	H89482	SLC9A1					
236		Hs.540343	Transcribed locus			1005203	H56559						
237		Hs.180903	Hypothetical protein 384D8_6			2178808	AA456032	384D8-2					
238		Hs.539684	Eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa			1927724	AA285043	EIF2S3					
239		Hs.73105	Betacellulin			3057790	AA917900	BTC					
240		Hs.470882	Calcitonin receptor-like			3151093	AA975301	CALCRL					
241		Hs.512963	Similar to hypothetical protein B230397C21			2432033	AA598993	UTP14C					
242		Hs.505154	Chromosome 12 open reading frame 14			2191263	AA465096	C12orf14					
243		Hs.157394	Hydroxyacylglutathione hydrolase			3085429	AA931043	HAGH					
244		Hs.174195	Interferon induced transmembrane protein 2 (1-8D)			3166810	AA985421	IFITM2					
245		Hs.112499	Benzodiazapine receptor (peripheral) associated protein 1			4069794	AI333235	BZRAP1					
246		Hs.293593	Rho GTPase activating protein 26			4089828	AI352622	ARHGAP26					
247		Hs.438993	Branched chain aminotransferase 1, cytosolic			4078354	AI341427	BCAT1					
248		Hs.469030	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase			4112951	AI361330	MTHFD2					
249		Hs.38032	APG7 autophagy 7-like (S. cerevisiae)			3755791	AI203185	APG7L					
250		Hs.100009	Cyclin-dependent kinase 3			3894498	AI272227	CDK3					
251		Hs.404263	Synovial sarcoma translocation, chromosome 18			4125212	AI365523	SS18					
252		Hs.306339	Sushi-repeat-containing protein, X-linked 2			4113755	AI362134	SRPX2					
253		Hs.528305	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17			1481658	AA018258	DDX17					
